Returned ,Delivery days,Row ID,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Product ID,Category,Sub-Category,Sales,Quantity,Profit,Region,Ship Date,Discount,order date,Product Name,Return Reason,Notes,Reason,Approver
no,4,15,US-2016-118983,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,OFF-AP-10002311,Office Supplies,Appliances,68.81,5,-123.858,Central,26-11-2016 00:00:00,0.8,22-11-2016 00:00:00,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",,,,
no,4,16,US-2016-118983,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,OFF-BI-10000756,Office Supplies,Binders,2.544,3,-3.816,Central,26-11-2016 00:00:00,0.8,22-11-2016 00:00:00,Storex DuraTech Recycled Plastic Frosted Binders,,,,
no,7,17,CA-2015-105893,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,OFF-ST-10004186,Office Supplies,Storage,665.88,6,13.3176,Central,18-11-2015 00:00:00,0,11-11-2015 00:00:00,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",,,,
no,4,22,CA-2017-137330,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,OFF-AR-10000246,Office Supplies,Art,19.46,7,5.0596,Central,13-12-2017 00:00:00,0,09-12-2017 00:00:00,Newell 318,,,,
no,4,23,CA-2017-137330,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,OFF-AP-10001492,Office Supplies,Appliances,60.34,7,15.6884,Central,13-12-2017 00:00:00,0,09-12-2017 00:00:00,"Acco Six-Outlet Power Strip, 4' Cord Length",,,,
no,4,35,CA-2018-107727,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,OFF-PA-10000249,Office Supplies,Paper,29.472,3,9.9468,Central,23-10-2018 00:00:00,0.2,19-10-2018 00:00:00,Easy-staple paper,,,,
no,2,36,CA-2017-117590,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,TEC-PH-10004977,Technology,Phones,1097.544,7,123.4737,Central,10-12-2017 00:00:00,0.2,08-12-2017 00:00:00,GE 30524EE4,,,,
no,2,37,CA-2017-117590,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,FUR-FU-10003664,Furniture,Furnishings,190.92,5,-147.963,Central,10-12-2017 00:00:00,0.6,08-12-2017 00:00:00,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",,,,
no,4,38,CA-2016-117415,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,OFF-EN-10002986,Office Supplies,Envelopes,113.328,9,35.415,Central,31-12-2016 00:00:00,0.2,27-12-2016 00:00:00,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",,,,
no,4,39,CA-2016-117415,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,FUR-BO-10002545,Furniture,Bookcases,532.3992,3,-46.9764,Central,31-12-2016 00:00:00,0.32,27-12-2016 00:00:00,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",,,,
